"Cloud Vendor","Cloud Vendor Account Name","CatalogId","CatalogName","Aug 2025","Total"
"Microsoft Azure (Modern Commerce)","usa-prolease-devtest","a6d6s00000095haqaa","prolease workplace/maintenance","1639.9551427153","1639.9551427153"
"Microsoft Azure (Modern Commerce)","asgl-public-dns","a6d6s00000095fxqaa","angus","6.2905183402","6.2905183402"
"Microsoft Azure (Modern Commerce)","zaf-propertycentral-devtest","a6d6s00000095hbqaa","property central","911.6219787309","911.6219787309"
"Microsoft Azure (Modern Commerce)","usa-importexport-devtest","a6d6s00000095hhqaq","property management x - import export","0.0020037732","0.0020037732"
"Microsoft Azure (Modern Commerce)","gbr-agoraconnectivity-prod","a6d6s00000095htqaq","mri agora connectivity","833.7953003406","833.7953003406"
"Microsoft Azure (Modern Commerce)","Pay-As-You-Go","a6d6s00000095gnqaq","digital self service","21.1132557094","21.1132557094"
"Microsoft Azure (Modern Commerce)","PT Pro – Dev","a6d6s00000095hvqaa","property tree","3994.8040919046","3994.8040919046"
"Microsoft Azure (Modern Commerce)","aus-agoraidentity-prod","a6dvx0000000yznyau","mri agora identity & access management","413.1007988909","413.1007988909"
"Microsoft Azure (Modern Commerce)","ESIGHT-TST","a6d6s00000095gwqaq","mri energy","378.495977446","378.495977446"
"Microsoft Azure (Modern Commerce)","usa-residentcheck-prod","a6d6s00000095i7qaa","resident check","0.0095908293","0.0095908293"
"Microsoft Azure (Modern Commerce)","gbr-search-prod","a6d6s00000095hkqaa","property management x - framework","3926.284563142","3926.284563142"
"Microsoft Azure (Modern Commerce)","aus-hsm-devtest","a6d6s00000095ifqaq","secure sign","2623.1562744754","2623.1562744754"
"Microsoft Azure (Modern Commerce)","Liquid-Palace","a6d6s00000095hsqaq","palace","33721.3670625491","33721.3670625491"
"Microsoft Azure (Modern Commerce)","LeaseXpert","a6d6s00000095fvqaa","amtdirect","1478.498391351","1478.498391351"
"Microsoft Azure (Modern Commerce)","usa-studio-prod","a6d6s00000095fzqaa","application studio","4341.1439672974","4341.1439672974"
"Microsoft Azure (Modern Commerce)","aus-devtest-cloud","a6d6s00000095hkqaa","property management x - framework","77.9139918525","77.9139918525"
"Microsoft Azure (Modern Commerce)","asgl-production","a6d6s00000095fxqaa","angus","2693.8786371594","2693.8786371594"
"Microsoft Azure (Modern Commerce)","global-morpheus-devtest","a6d6s00000095hkqaa","property management x - framework","771.8410064707","771.8410064707"
"Microsoft Azure (Modern Commerce)","gbr-agoragateway-prod","a6d6s00000095hgqaq","mri agora gateway","1660.7361978257","1660.7361978257"
"Microsoft Azure (Modern Commerce)","gbr-documentmanagement-devtest","a6d6s00000095goqaq","document management","0.0035100678","0.0035100678"
"Microsoft Azure (Modern Commerce)","Rockend Communicator UAT","a6d6s00000095hvqaa","property tree","104.6966188305","104.6966188305"
"Microsoft Azure (Modern Commerce)","usa-engage-devtest","a6d6s00000095guqaq","engage platform","4300.2767798477","4300.2767798477"
"Microsoft Azure (Modern Commerce)","usa-agenticai-prod","a6d6s00000095hgqaa","property management x - commercial management","370.0397840252","370.0397840252"
"Microsoft Azure (Modern Commerce)","asgl-shared-services","a6d6s00000095fxqaa","angus","1032.9437278874","1032.9437278874"
"Microsoft Azure (Modern Commerce)","can-central-management","it","it","2243.9375390811","2243.9375390811"
"Microsoft Azure (Modern Commerce)","PT Pro - Supporting Servers","a6d6s00000095hvqaa","property tree","0.1602257198","0.1602257198"
"Microsoft Azure (Modern Commerce)","PT Pro - Production","a6d6s00000095hvqaa","property tree","33585.1645838352","33585.1645838352"
"Microsoft Azure (Modern Commerce)","aus-integrationframework-prod","a6d6s00000095goqaa","horizon","714.7730628176","714.7730628176"
"Microsoft Azure (Modern Commerce)","usa-evolutionds-prod","a6d6s00000095gxqaq","evolution","2043.9306367586","2043.9306367586"
"Microsoft Azure (Modern Commerce)","aus-central-connectivity","it","it","3197.5001532972","3197.5001532972"
"Microsoft Azure (Modern Commerce)","usa-askagora-devtest","a6dvx00000007kryai","mri agora a2i","2986.4287347342","2986.4287347342"
"Microsoft Azure (Modern Commerce)","usa-agoragateway-prod","a6d6s00000095hgqaq","mri agora gateway","2120.8903573072","2120.8903573072"
"Microsoft Azure (Modern Commerce)","EMEA - Ireland","it","it","3331.985782111","3331.985782111"
"Microsoft Azure (Modern Commerce)","gbr-agoraconnectivity-devtest","a6d6s00000095htqaq","mri agora connectivity","1196.052854492","1196.052854492"
"Microsoft Azure (Modern Commerce)","usa-investmentcentral-prod","a6d6s00000095h0qaa","investment central","167.4843107355","167.4843107355"
"Microsoft Azure (Modern Commerce)","usa-solarwinds-prod","it","it","1137.1991496205","1137.1991496205"
"Microsoft Azure (Modern Commerce)","aus-palace-devtest","a6d6s00000095hsqaq","palace","314.8869199299","314.8869199299"
"Microsoft Azure (Modern Commerce)","can-mirra-devtest","a6d6s00000095fxqaa","angus","0.0042540506","0.0042540506"
"Microsoft Azure (Modern Commerce)","global-pdinternaltools-devtest","a6d6s00000095hkqaa","property management x - framework","6.5679329107","6.5679329107"
"Microsoft Azure (Modern Commerce)","usa-b2c","a6d6s00000095hkqaa","property management x - framework","0.06621264","0.06621264"
"Microsoft Azure (Modern Commerce)","DEV/QA Environment","a6d6s00000095fvqaa","amtdirect","5963.733204775","5963.733204775"
"Microsoft Azure (Modern Commerce)","gbr-residentvoice-devtest","a6d6s00000095ihqaq","social housing cloud platform","616.580418715","616.580418715"
"Microsoft Azure (Modern Commerce)","EMEA DevOps Production","a6d6s00000095ghqaq","contract intelligence","38262.8174307319","38262.8174307319"
"Microsoft Azure (Modern Commerce)","aus-sharedplatform-devtest","a6dvx00000003xbyaq","mri agora insights for apac living","2221.5166974157","2221.5166974157"
"Microsoft Azure (Modern Commerce)","aus-agoraidentity-devtest","a6dvx0000000yznyau","mri agora identity & access management","1915.0000505067","1915.0000505067"
"Microsoft Azure (Modern Commerce)","usa-connectivity-prod","a6d6s00000095i4qaa","rentpayment","3797.4561453726","3797.4561453726"
"Microsoft Azure (Modern Commerce)","usa-configstudio-prod","a6d6s00000095htqaq","mri agora connectivity","0.0019939007","0.0019939007"
"Microsoft Azure (Modern Commerce)","gbr-studio-prod","a6d6s00000095fzqaa","application studio","1865.8618694403","1865.8618694403"
"Microsoft Azure (Modern Commerce)","asgl-playground","a6d6s00000095fxqaa","angus","337.3220334579","337.3220334579"
"Microsoft Azure (Modern Commerce)","Loci Solutions - PSI Capture Indexing","it","it","131.4366801081","131.4366801081"
"Microsoft Azure (Modern Commerce)","gbr-agile-devtest","a6d6s00000095hcqaq","mobile agile","0.002882759","0.002882759"
"Microsoft Azure (Modern Commerce)","gbr-documotive-devtest","a6d6s00000095gbqaa","finance professional","0.0031459256","0.0031459256"
"Microsoft Azure (Modern Commerce)","can-angus-devtest","a6d6s00000095fxqaa","angus","313.7913141725","313.7913141725"
"Microsoft Azure (Modern Commerce)","gbr-esight-prod","a6d6s00000095gwqaq","mri energy","7930.2025270321","7930.2025270321"
"Microsoft Azure (Modern Commerce)","usa-search-dev","a6d6s00000095hkqaa","property management x - framework","8141.5831297176","8141.5831297176"
"Microsoft Azure (Modern Commerce)","gbr-agorainsights-devtest","a6d6s00000095hiqaq","mri agora insights","3059.5558940152","3059.5558940152"
"Microsoft Azure (Modern Commerce)","asgl-stage","a6d6s00000095fxqaa","angus","147.6200012578","147.6200012578"
"Microsoft Azure (Modern Commerce)","usa-pmx-devtest","a6d6s00000095hkqaa","property management x - framework","4158.413864261","4158.413864261"
"Microsoft Azure (Modern Commerce)","MRI Software - MRI Maintain Dashboards","a6d6s00000095gbqaa","finance professional","398.9093052564","398.9093052564"
"Microsoft Azure (Modern Commerce)","gbr-central-connectivity","it","it","3158.6210812982","3158.6210812982"
"Microsoft Azure (Modern Commerce)","Build Environment","a6d6s00000095fvqaa","amtdirect","940.0100813972","940.0100813972"
"Microsoft Azure (Modern Commerce)","global-reservation-management","it","it","28962.9","28962.9"
"Microsoft Azure (Modern Commerce)","gbr-housingprofessional-devtest","a6d6s00000095guqaa","housing professional","0.0032221754","0.0032221754"
"Microsoft Azure (Modern Commerce)","na-horizon","a6d6s00000095goqaa","horizon","6836.2402537836","6836.2402537836"
"Microsoft Azure (Modern Commerce)","usa-enterprise-architecture-devtest","it","it","95.8960806737","95.8960806737"
"Microsoft Azure (Modern Commerce)","gbr-salesandlettings-prod","a6d6s00000095ieqaq","sales and lettings","0","0"
"Microsoft Azure (Modern Commerce)","usa-agoragateway-devtest","a6d6s00000095hgqaq","mri agora gateway","4966.8412238931","4966.8412238931"
"Microsoft Azure (Modern Commerce)","usa-agora-dev","a6d6s00000095hgqaq","engage platform","3487.9034157982","3487.9034157982"
"Microsoft Azure (Modern Commerce)","usa-pmx-services-devtest","a6d6s00000095hkqaa","property management x - framework","258.4246536311","258.4246536311"
"Microsoft Azure (Modern Commerce)","aus-hsm-prod","a6d6s00000095ifqaq","secure sign","5044.2431309674","5044.2431309674"
"Microsoft Azure (Modern Commerce)","usa-pmx-devops","a6d6s00000095hkqaa","property management x - framework","278.4278963507","278.4278963507"
"Microsoft Azure (Modern Commerce)","gbr-central-management","it","it","242.3964621903","242.3964621903"
"Microsoft Azure (Modern Commerce)","deu-formsintelligence-devtest","a6d6s00000095ggqaa","forms intelligence","1512.7968579642","1512.7968579642"
"Microsoft Azure (Modern Commerce)","NetFacilities","a6d6s00000095hoqaq","netfacilities","13562.5950035022","13562.5950035022"
"Microsoft Azure (Modern Commerce)","Rockend Communicator","a6d6s00000095hvqaa","property tree","2993.998665395","2993.998665395"
"Microsoft Azure (Modern Commerce)","sgp-disaster-recovery","a6d6s00000095hkqaa","property management x - framework","9842.70382108","9842.70382108"
"Microsoft Azure (Modern Commerce)","usa-pah","a6d6s00000095hzqaa","public housing management","0.109735094","0.109735094"
"Microsoft Azure (Modern Commerce)","gbr-integration-devtest","a6d6s00000095grqaa","housing enterprise","0.0023520924","0.0023520924"
"Microsoft Azure (Modern Commerce)","usa-configstudio-devtest","a6d6s00000095htqaq","mri agora connectivity","180.3516703882","180.3516703882"
"Microsoft Azure (Modern Commerce)","APAC DevOps Production","a6d6s00000095hkqaa","property management x - framework","3687.154660251","3687.154660251"
"Microsoft Azure (Modern Commerce)","aus-investmentmodelling-devtest","a6d6s00000095g2qaa","asset modeling","574.6397949784","574.6397949784"
"Microsoft Azure (Modern Commerce)","aus-stratamaster-prod","a6d6s00000095ilqaq","strata master","1115.5719640343","1115.5719640343"
"Microsoft Azure (Modern Commerce)","HAPPY Software","a6d6s00000095gkqaa","pha pro","3085.6567624789","3085.6567624789"
"Microsoft Azure (Modern Commerce)","usa-checkpointid-prod","a6d6s00000095gcqaq","checkpointid","16188.2856097698","16188.2856097698"
"Microsoft Azure (Modern Commerce)","gbr-solarwinds-prod","it","it","2487.5327827942","2487.5327827942"
"Microsoft Azure (Modern Commerce)","zaf-central-management","it","it","235.0908696738","235.0908696738"
"Microsoft Azure (Modern Commerce)","aus-mridocs-prod","a6d6s00000095ggqaq","connect - framework","4.0935195533","4.0935195533"
"Microsoft Azure (Modern Commerce)","Housing Brixx","a6d6s00000095gqqaa","housing brixx","984.3071775891","984.3071775891"
"Microsoft Azure (Modern Commerce)","usa-central-connectivity","it","it","2928.7717336859","2928.7717336859"
"Microsoft Azure (Modern Commerce)","NA - Tenmast WinTen 32bit","a6d6s00000095isqaq","tenmast","3004.2614434776","3004.2614434776"
"Microsoft Azure (Modern Commerce)","Social Housing UK (Housing Partners)","a6d6s00000095fpqaa","accommodation rent accounting","24787.4612123275","24787.4612123275"
"Microsoft Azure (Modern Commerce)","usa-central-management","it","it","2450.1106659438","2450.1106659438"
"Microsoft Azure (Modern Commerce)","StrataMaster - DEV","a6d6s00000095ilqaq","strata master","497.0212358343","497.0212358343"
"Microsoft Azure (Modern Commerce)","can-mirra-prod","a6d6s00000095fxqaa","angus","0.0042589318","0.0042589318"
"Microsoft Azure (Modern Commerce)","usa-sandbox-dev","it","it","15183.193473005","15183.193473005"
"Microsoft Azure (Modern Commerce)","can-pmx-prod","a6d6s00000095hkqaa","property management x - framework","1305.2763349997","1305.2763349997"
"Microsoft Azure (Modern Commerce)","aus-studio-prod","a6d6s00000095fzqaa","application studio","1804.4003143206","1804.4003143206"
"Microsoft Azure (Modern Commerce)","APAC Shared Services - PROD","a6d6s00000095hvqaa","property tree","50.6982701252","50.6982701252"
"Microsoft Azure (Modern Commerce)","gbr-cohesity","it","it","5479.6298448121","5479.6298448121"
"Microsoft Azure (Modern Commerce)","aus-integrationframework-devtest","a6d6s00000095goqaa","horizon","730.5108129038","730.5108129038"
"Microsoft Azure (Modern Commerce)","global-esu-prod","it","it","10321.7013646","10321.7013646"
"Microsoft Azure (Modern Commerce)","aus-solarwinds-prod","it","it","1169.7533216336","1169.7533216336"
"Microsoft Azure (Modern Commerce)","usa-assistanceconnect-prod","a6d6s00000095g3qaa","assistance connect","148.406046782","148.406046782"
"Microsoft Azure (Modern Commerce)","deu-formsintelligence-prod","a6d6s00000095ggqaa","forms intelligence","1677.4648279798","1677.4648279798"
"Microsoft Azure (Modern Commerce)","MRI SaaS – CDN","it","it","1214.7219362964","1214.7219362964"
"Microsoft Azure (Modern Commerce)","zaf-tpn-prod","a6d6s00000095itqaq","tpn group","600.9637220796","600.9637220796"
"Microsoft Azure (Modern Commerce)","usa-ctmpro-prod","a6d6s00000095gjqaq","ctm pro","95.1359007758","95.1359007758"
"Microsoft Azure (Modern Commerce)","usa-callmax-prod","a6d6s00000095g7qaa","callmax","9.3009383","9.3009383"
"Microsoft Azure (Modern Commerce)","LeaseXpert Production","a6d6s00000095fvqaa","amtdirect","30421.2388802621","30421.2388802621"
"Microsoft Azure (Modern Commerce)","global-morpheus-prod","a6d6s00000095hkqaa","property management x - framework","598.8967813451","598.8967813451"
"Microsoft Azure (Modern Commerce)","usa-agoraidentity-prod","a6dvx0000000yznyau","mri agora identity & access management","1500.7884291543","1500.7884291543"
"Microsoft Azure (Modern Commerce)","APAC Shared Services - DEV","a6d6s00000095hvqaa","property tree","405.0540602665","405.0540602665"
"Microsoft Azure (Modern Commerce)","gbr-agorainsights-prod","a6d6s00000095hiqaq","mri agora insights","11085.9860780353","11085.9860780353"
"Microsoft Azure (Modern Commerce)","global-itops-corporate-devtest","it","it","0.2024686139","0.2024686139"
"Microsoft Azure (Modern Commerce)","gbr-esight-devtest","a6d6s00000095gwqaq","mri energy","2815.9485873562","2815.9485873562"
"Microsoft Azure (Modern Commerce)","UAT Environment","a6d6s00000095fvqaa","amtdirect","4433.1720182714","4433.1720182714"
"Microsoft Azure (Modern Commerce)","usa-agenticai-devtest","a6d6s00000095hgqaa","property management x - commercial management","430.1690557469","430.1690557469"
"Microsoft Azure (Modern Commerce)","usa-centralconnectivity-devtest","it","it","392.8402021141","392.8402021141"
"Microsoft Azure (Modern Commerce)","zaf-propertycentral-prod","a6d6s00000095hbqaa","property central","381.7812441373","381.7812441373"
"Microsoft Azure (Modern Commerce)","gbr-containerleasing-prod","a6dvx0000000hkvyaa","container leasing","308.0776606662","308.0776606662"
"Microsoft Azure (Modern Commerce)","usa-pah-dev","a6d6s00000095hzqaa","public housing management","1226.3796858428","1226.3796858428"
"Microsoft Azure (Modern Commerce)","ESIGHT-PRD","a6d6s00000095gwqaq","mri energy","12425.006275339","12425.006275339"
"Microsoft Azure (Modern Commerce)","zaf-sandbox-devtest","it","it","734.8828947365","734.8828947365"
"Microsoft Azure (Modern Commerce)","aus-realestateinvestar-devtest","a6d6s00000095i3qaa","real estate investar","396.7803483866","396.7803483866"
"Microsoft Azure (Modern Commerce)","usa-b2c-dev","a6d6s00000095hkqaa","property management x - framework","0.2928622515","0.2928622515"
"Microsoft Azure (Modern Commerce)","gbr-containerdepotmanagement-devtest","a6dvx0000000hmxyaq","container depot management","326.9643404016","326.9643404016"
"Microsoft Azure (Modern Commerce)","aus-agoragateway-devtest","a6d6s00000095hgqaq","mri agora gateway","16708.986472703","16708.986472703"
"Microsoft Azure (Modern Commerce)","Social Housing UK, Development (Housing Partners)","a6d6s00000095fpqaa","accommodation rent accounting","768.1364761825","768.1364761825"
"Microsoft Azure (Modern Commerce)","gbr-socialhousing-devtest","a6d6s00000095grqaa","housing enterprise","6837.39842064","6837.39842064"
"Microsoft Azure (Modern Commerce)","Corporate IT","it","it","3853.2924935135","3853.2924935135"
"Microsoft Azure (Modern Commerce)","aus-securesign-prod","a6d6s00000095ifqaq","secure sign","2498.424133236","2498.424133236"
"Microsoft Azure (Modern Commerce)","asgl-devqa","a6d6s00000095fxqaa","angus","1177.164629119","1177.164629119"
"Microsoft Azure (Modern Commerce)","global-performance-devtest","a6d6s00000095hkqaa","property management x - framework","0.0019929258","0.0019929258"
"Microsoft Azure (Modern Commerce)","ESIGHT-SHARED","a6d6s00000095gwqaq","mri energy","102.2067764615","102.2067764615"
"Microsoft Azure (Modern Commerce)","gbr-salesandlettings-devtest","a6d6s00000095ieqaq","sales and lettings","0.18732675","0.18732675"
"Microsoft Azure (Modern Commerce)","usa-checkpointid-devtest","a6d6s00000095gcqaq","checkpointid","1467.099356212","1467.099356212"
"Microsoft Azure (Modern Commerce)","aus-horizon","a6d6s00000095goqaa","horizon","8711.2422424949","8711.2422424949"
"Microsoft Azure (Modern Commerce)","AccuServ-Dev-PAYG","a6d6s00000095i5qaa","repairs","306.1986882769","306.1986882769"
"Microsoft Azure (Modern Commerce)","gbr-mridocs-prod","a6d6s00000095ggqaq","connect - framework","268.1525428548","268.1525428548"
"Microsoft Azure (Modern Commerce)","can-agorainsights-devtest","a6d6s00000095hiqaq","mri agora insights","71.2373937463","71.2373937463"
"Microsoft Azure (Modern Commerce)","DevOps","a6d6s00000095ghqaq","contract intelligence","43658.7545205022","43658.7545205022"
"Microsoft Azure (Modern Commerce)","usa-connectivity-devtest","a6d6s00000095i4qaa","rentpayment","2366.4001017012","2366.4001017012"
"Microsoft Azure (Modern Commerce)","can-central-connectivity","it","it","1726.696591746","1726.696591746"
"Microsoft Azure (Modern Commerce)","global-dns-devtest","it","it","12.5120636513","12.5120636513"
"Microsoft Azure (Modern Commerce)","PT Pro - QA","a6d6s00000095hvqaa","property tree","7.9785659156","7.9785659156"
"Microsoft Azure (Modern Commerce)","usa-agoraidentity-devtest","a6dvx0000000yznyau","mri agora identity & access management","2412.3255218831","2412.3255218831"
"Microsoft Azure (Modern Commerce)","Social Housing UK, Infrastructure (Housing Partners)","a6d6s00000095fpqaa","accommodation rent accounting","3224.8182550338","3224.8182550338"
"Microsoft Azure (Modern Commerce)","apac-data-preprod","a6d6s00000095gkqaq","data connector","5245.7533230169","5245.7533230169"
"Microsoft Azure (Modern Commerce)","gbr-socialhousingdevelopment-devtest","a6d6s00000095i5qaa","repairs","1.2264512617","1.2264512617"
"Microsoft Azure (Modern Commerce)","MRI SaaS - Dev/Test","it","it","59.4828633924","59.4828633924"
"Microsoft Azure (Modern Commerce)","fsi-prod","a6d6s00000095gxqaq","evolution","4412.9067396104","4412.9067396104"
"Microsoft Azure (Modern Commerce)","usa-mridocs-prod","a6d6s00000095ggqaq","connect - framework","165.0082237599","165.0082237599"
"Microsoft Azure (Modern Commerce)","gbr-assetmanagement-devtest","a6d6s00000095g1qaa","asset management","0.0050694869","0.0050694869"
"Microsoft Azure (Modern Commerce)","Dev/Test R&D","a6d6s00000095fxqaa","angus","13.9287514927","13.9287514927"
"Microsoft Azure (Modern Commerce)","PD Translation Services","a6d6s00000095hkqaa","property management x - framework","15.9608906","15.9608906"
"Microsoft Azure (Modern Commerce)","usa-assistanceconnect-devtest","a6d6s00000095g3qaa","assistance connect","0.0020401391","0.0020401391"
"Microsoft Azure (Modern Commerce)","aus-sandbox-dev","a6d6s00000095ilqaq","strata master","3237.2987603959","3237.2987603959"
"Microsoft Azure (Modern Commerce)","sandbox-global","it","it","6329.8491191441","6329.8491191441"
"Microsoft Azure (Modern Commerce)","gbr-housingenterprise-devtest","a6d6s00000095grqaa","housing enterprise","1.2257190428","1.2257190428"
"Microsoft Azure (Modern Commerce)","gbr-housingmobile-devtest","a6d6s00000095hcqaq","mobile agile","0.0047244398","0.0047244398"
"Microsoft Azure (Modern Commerce)","gbr-crmv4-devtest","it","it","0.002936537","0.002936537"
